Cores,run #0,run #1,run #2
1,7.13,7.04,7.06
2,10.0,10.15,10.13
3,13.26,13.34,13.4
4,15.88,16.0,16.14
5,18.25,18.16,18.16
6,20.07,20.19,20.02
