Cores,run #0,run #1,run #2
1,7.32,7.26,7.2
2,14.28,14.54,14.58
3,22.29,22.03,21.94
4,28.92,29.13,29.33
5,36.12,36.4,36.19
6,44.1,44.06,43.15
