Cores,run #0,run #1,run #2
1,9.11,9.12,9.26
2,11.99,11.92,11.87
3,15.07,15.05,14.98
4,17.65,17.55,17.69
5,19.6,19.71,19.68
6,20.64,20.64,20.64
