Cores,run #0,run #1,run #2
1,5.73,5.68,5.71
2,8.65,8.92,9.49
3,6.21,6.25,5.63
4,4.34,3.96,3.94
5,4.39,4.48,4.57
6,4.38,4.86,5.12
