Cores,run #0,run #1,run #2
1,8.87,9.0,9.02
2,12.26,12.27,12.27
3,15.7,15.55,15.53
4,18.56,18.56,18.5
5,20.88,20.85,20.9
6,22.79,22.76,22.87
