Cores,run #0,run #1,run #2
1,8.3,8.27,8.23
2,10.04,9.96,10.11
3,12.27,12.22,12.27
4,12.82,12.9,12.79
5,14.05,13.99,14.06
6,15.3,15.33,15.21
