Cores,run #0,run #1,run #2
1,7.23,7.25,7.3
2,9.66,10.09,9.82
3,4.84,4.75,4.76
4,4.29,4.36,4.36
5,4.85,4.38,5.22
6,4.86,4.96,4.67
