Cores,run #0,run #1,run #2
1,6.23,6.22,6.2
2,12.48,12.47,12.49
3,18.26,18.2,18.42
4,24.75,24.59,24.47
5,30.59,30.52,30.82
6,36.58,36.99,36.8
