Cores,run #0,run #1,run #2
1,6.72,6.85,6.9
2,9.35,10.76,9.11
3,4.85,5.05,4.63
4,4.52,4.2,4.71
5,5.3,4.39,4.86
6,4.53,4.64,4.63
