Cores,run #0,run #1,run #2
1,7.62,7.64,7.76
2,15.5,15.75,15.31
3,22.93,23.01,23.11
4,30.56,30.8,30.67
5,34.89,34.89,34.88
6,34.9,34.91,34.9
