Cores,run #0,run #1,run #2
1,7.6,7.54,7.56
2,15.58,15.57,15.62
3,22.59,22.81,23.02
4,31.22,30.89,31.17
5,37.97,38.02,38.07
6,46.42,46.62,46.53
