Cores,run #0,run #1,run #2
1,2.25,2.26,2.24
2,2.54,2.55,2.61
3,4.1,2.26,2.81
4,1.35,1.36,1.35
5,1.9,1.64,1.94
6,1.89,1.73,1.87
