Cores,run #0,run #1,run #2
1,5.3,5.28,5.33
2,9.57,9.62,9.55
3,13.26,13.25,13.2
4,15.72,15.74,15.79
5,17.51,17.64,17.58
6,18.73,18.73,18.7
