Cores,run #0,run #1,run #2
1,2.66,2.64,2.64
2,3.48,3.45,3.41
3,4.23,4.23,4.25
4,5.3,5.37,5.38
5,5.93,5.93,5.9
6,6.29,6.29,6.27
