Cores,run #0,run #1,run #2
1,7.12,7.34,7.25
2,8.57,8.66,8.59
3,10.81,10.79,10.73
4,12.68,12.66,12.57
5,13.51,13.53,13.61
6,14.02,14.04,14.07
