Cores,run #0,run #1,run #2
1,5.54,5.62,5.55
2,9.33,9.48,9.53
3,13.24,13.26,13.25
4,16.92,16.89,16.92
5,20.38,20.31,20.41
6,24.28,23.76,23.88
