Cores,run #0,run #1,run #2
1,5.3,5.34,5.38
2,5.95,5.99,5.8
3,3.78,5.02,3.66
4,3.61,3.46,3.29
5,3.55,3.4,3.51
6,3.49,3.53,3.51
