Cores,run #0,run #1,run #2
1,5.31,5.26,5.35
2,6.67,6.72,6.73
3,8.79,8.77,8.7
4,10.22,10.26,10.23
5,11.4,11.37,11.38
6,12.24,12.13,12.18
