Cores,run #0,run #1,run #2
1,4.54,4.53,4.53
2,8.28,8.33,8.3
3,11.78,11.75,11.72
4,14.97,15.01,15.03
5,17.86,17.94,17.97
6,20.96,20.94,20.87
