Cores,run #0,run #1,run #2
1,6.64,6.5,6.54
2,11.88,11.77,11.72
3,16.21,16.25,16.4
4,18.92,18.96,19.08
5,20.18,20.25,20.16
6,21.07,21.1,21.1
