Cores,run #0,run #1,run #2
1,4.12,4.11,4.05
2,5.19,5.12,5.39
3,5.67,4.63,5.76
4,2.84,3.23,2.85
5,3.61,3.62,2.86
6,2.83,2.85,2.85
