Cores,run #0,run #1,run #2
1,7.92,7.56,8.03
2,8.54,8.4,8.58
3,10.52,10.55,10.75
4,12.61,12.44,12.61
5,13.87,13.95,13.94
6,14.62,14.18,14.2
