Cores,run #0,run #1,run #2
1,5.55,5.63,5.57
2,6.09,6.21,6.2
3,3.16,3.25,3.1
4,3.42,3.37,3.56
5,3.44,3.47,3.47
6,3.59,3.58,3.62
