Cores,run #0,run #1,run #2
1,2.12,2.1,2.11
2,2.68,2.65,2.7
3,2.43,2.54,2.46
4,1.53,1.58,1.58
5,1.64,1.63,1.64
6,1.65,1.65,1.64
