Cores,run #0,run #1,run #2
1,4.64,4.53,4.51
2,6.51,6.59,6.47
3,8.61,8.59,8.65
4,10.36,10.39,10.39
5,11.83,11.79,11.79
6,12.9,12.95,12.95
