Cores,run #0,run #1,run #2
1,4.03,4.06,4.01
2,8.26,8.21,8.21
3,11.96,12.21,12.07
4,16.49,16.51,16.62
5,20.17,19.87,20.39
6,24.78,25.1,24.52
