Cores,run #0,run #1,run #2
1,5.75,5.83,5.79
2,7.73,7.8,7.71
3,10.0,9.85,10.0
4,11.78,11.73,11.87
5,13.22,13.22,13.28
6,14.42,14.63,14.55
