Cores,run #0,run #1,run #2
1,5.91,5.88,5.87
2,7.71,7.66,7.67
3,9.91,9.76,9.73
4,11.55,11.58,11.6
5,12.93,12.92,12.95
6,14.04,14.02,14.07
