Cores,run #0,run #1,run #2
1,4.95,5.04,4.9
2,10.16,10.18,9.98
3,15.27,15.24,15.1
4,20.41,20.42,20.48
5,25.48,24.88,25.37
6,30.57,30.3,30.44
