Cores,run #0,run #1,run #2
1,5.07,5.16,5.14
2,10.36,10.32,10.33
3,15.35,15.21,15.43
4,20.21,20.34,20.6
5,25.51,25.38,25.59
6,30.69,30.46,30.44
