Cores,run #0,run #1,run #2
1,3.75,3.68,3.6
2,6.16,6.26,6.28
3,6.63,6.11,6.13
4,3.92,3.91,4.1
5,4.04,3.93,4.12
6,3.82,4.07,4.25
