Cores,run #0,run #1,run #2
1,4.45,4.46,4.35
2,7.37,7.37,7.1
3,6.22,5.78,5.49
4,3.86,4.04,4.52
5,4.98,4.48,4.06
6,4.68,4.97,4.08
