Cores,run #0,run #1,run #2
1,5.55,5.6,5.66
2,5.64,5.63,5.8
3,3.1,3.17,3.18
4,3.39,3.32,3.39
5,3.56,3.65,3.61
6,3.44,3.45,3.45
