Cores,run #0,run #1,run #2
1,5.43,5.47,5.37
2,6.67,6.08,6.51
3,3.28,3.26,3.13
4,3.37,3.54,3.35
5,3.44,3.42,3.69
6,3.46,3.4,3.4
