Cores,run #0,run #1,run #2
1,6.97,6.93,6.96
2,7.44,7.38,7.4
3,8.38,8.43,8.44
4,9.53,9.42,9.44
5,10.4,10.36,10.39
6,10.78,10.74,10.67
