Cores,run #0,run #1,run #2
1,2.09,2.11,2.1
2,2.9,2.88,2.85
3,2.6,2.5,2.6
4,1.7,1.66,1.65
5,1.44,1.43,1.43
6,1.72,1.74,1.74
