Cores,run #0,run #1,run #2
1,7.72,7.62,7.92
2,8.61,8.6,8.61
3,10.77,10.75,10.71
4,12.63,12.61,12.59
5,13.51,13.51,13.55
6,14.32,14.38,14.31
