Cores,run #0,run #1,run #2
1,4.85,4.86,4.91
2,6.01,6.04,6.0
3,7.17,7.21,7.19
4,8.27,8.29,8.27
5,9.08,9.14,9.1
6,9.58,9.56,9.51
