Cores,run #0,run #1,run #2
1,6.03,6.14,5.97
2,6.93,6.93,6.96
3,8.09,8.11,8.15
4,9.24,9.2,9.15
5,10.19,10.1,10.07
6,10.43,10.45,10.31
