Cores,run #0,run #1,run #2
1,6.16,6.13,6.23
2,6.27,6.52,6.26
3,3.43,3.44,3.55
4,3.45,3.47,3.36
5,3.59,3.6,3.61
6,3.58,3.59,3.59
