Cores,run #0,run #1,run #2
1,6.56,6.55,6.5
2,12.02,12.07,12.08
3,16.34,16.58,16.38
4,18.99,18.99,18.91
5,20.37,20.4,20.35
6,21.1,21.0,21.05
