Cores,run #0,run #1,run #2
1,4.68,4.72,4.68
2,8.49,8.42,8.57
3,12.15,12.02,12.06
4,15.44,15.26,15.46
5,18.62,18.49,18.45
6,21.54,21.56,21.55
