Cores,run #0,run #1,run #2
1,6.98,6.57,6.7
2,7.94,8.02,8.01
3,10.12,10.03,10.16
4,11.98,12.03,12.08
5,13.71,13.69,13.53
6,13.54,13.57,13.59
