Cores,run #0,run #1,run #2
1,5.87,5.95,5.82
2,7.27,7.29,7.26
3,9.35,9.27,9.3
4,10.85,10.82,10.82
5,11.86,11.88,11.9
6,12.74,12.76,12.73
