Cores,run #0,run #1,run #2
1,4.44,4.36,4.38
2,5.48,5.52,5.61
3,5.47,4.04,4.21
4,3.02,3.39,3.27
5,3.77,3.29,3.27
6,3.58,3.24,3.23
