Cores,run #0,run #1,run #2
1,2.42,2.4,2.41
2,4.04,3.99,4.02
3,6.45,6.42,6.48
4,7.09,7.13,7.17
5,9.0,9.05,9.04
6,10.4,10.4,10.44
