Cores,run #0,run #1,run #2
1,6.04,6.05,5.98
2,10.36,10.38,10.43
3,14.72,14.8,14.78
4,18.23,18.17,18.32
5,21.91,21.95,21.93
6,24.18,24.03,24.01
