Cores,run #0,run #1,run #2
1,6.33,6.31,6.43
2,10.18,10.15,10.29
3,13.91,14.01,13.82
4,17.51,17.66,17.48
5,21.17,20.99,21.16
6,25.08,24.72,25.0
