Cores,run #0,run #1,run #2
1,2.67,2.66,2.68
2,3.4,3.39,3.41
3,4.28,4.27,4.28
4,5.17,5.16,5.14
5,5.69,5.68,5.67
6,6.07,6.04,6.03
