Cores,run #0,run #1,run #2
1,4.75,4.71,4.72
2,8.56,8.6,8.62
3,11.89,11.93,12.01
4,14.7,14.57,14.7
5,16.45,16.47,16.35
6,17.85,17.83,17.77
