Cores,run #0,run #1,run #2
1,4.9,4.87,4.95
2,5.97,5.96,5.97
3,7.12,7.13,7.15
4,8.14,8.2,8.1
5,9.01,9.04,8.96
6,9.45,9.48,9.46
