Cores,run #0,run #1,run #2
1,1.09,1.09,1.09
2,1.95,1.94,1.93
3,2.82,2.82,2.83
4,3.74,3.81,3.68
5,4.64,4.44,4.55
6,5.39,3.31,3.48
