Cores,run #0,run #1,run #2
1,0.55,0.55,0.55
2,1.04,1.04,1.04
3,1.59,1.59,1.6
4,2.04,2.03,2.04
5,2.51,2.51,2.5
6,3.41,3.41,3.44
