Cores,run #0,run #1,run #2
1,1.1,1.1,1.1
2,2.16,2.16,2.17
3,3.2,3.2,3.2
4,4.21,4.23,4.23
5,5.24,5.25,5.26
6,6.26,6.22,6.28
