Cores,run #0,run #1,run #2
1,0.55,0.55,0.55
2,0.93,0.93,0.93
3,1.41,1.38,1.39
4,1.76,1.76,1.75
5,2.14,2.06,2.19
6,1.74,1.74,1.77
