Cores,run #0,run #1,run #2
1,3.7,3.7,3.85
2,4.23,4.17,4.23
3,3.1,3.1,3.05
4,3.71,3.65,3.75
5,4.14,4.15,4.1
6,3.45,3.45,3.56
