Cores,run #0,run #1,run #2
1,1.16,1.17,1.17
2,2.29,2.28,2.3
3,3.39,3.39,3.38
4,4.5,4.49,4.47
5,5.61,5.63,5.6
6,6.7,6.7,6.73
