Cores,run #0,run #1,run #2
1,1.15,1.15,1.16
2,2.03,2.01,2.06
3,2.95,2.97,2.99
4,3.88,3.91,3.91
5,4.67,4.53,4.71
6,3.28,3.25,3.27
