Cores,run #0,run #1,run #2
1,3.03,3.08,3.08
2,5.71,5.69,5.73
3,8.04,8.03,8.03
4,9.86,9.92,9.93
5,11.43,11.34,11.45
6,12.58,12.48,12.64
