Cores,run #0,run #1,run #2
1,1.16,1.16,1.16
2,2.02,2.03,2.05
3,2.96,2.94,3.01
4,3.88,3.91,3.85
5,4.86,5.02,4.64
6,3.22,3.18,3.18
