Cores,run #0,run #1,run #2
1,2.95,2.9,2.91
2,3.94,3.93,3.9
3,3.65,3.6,3.55
4,3.29,3.33,3.27
5,3.79,3.74,3.75
6,3.2,3.18,3.19
