Cores,run #0,run #1,run #2
1,4.06,4.03,3.96
2,7.28,7.34,7.33
3,10.29,10.19,10.29
4,12.16,12.35,12.21
5,13.56,13.61,13.65
6,14.32,14.38,14.51
